Title,Price,Area,BHK,Bathrooms,Furnished,Balconies,Floor,Ownership,Facing,Amenities,Transaction Type,Property Type,Location,Year of Construction,Is Luxury,Description,Property Image
1BHK Multistorey Apartment for Rent in Hiranandani Gardens at Central Area,"50,000",550 12800,1,2,Semi-Furnished,,5,,East,,Rent,Apartment,Mumbai,1998,F,"1 BHK, Multistorey Apartment is available for Rent in Central Area, Mumbai for 50,000",Project-Photo-18-Hiranandani-Gardens-Mumbai-5000890_488_1366.jpg
2BHK Multistorey Apartment for Rent in GHP Woodland Heights at Chandivali,"45,000",1050 12800,2,2,Semi-Furnished,1,7,,South - East,,Rent,Apartment,Mumbai,1998,F,"2 BHK, Multistorey Apartment is available for Rent in Chandivali, Mumbai for 45,000",Project-Photo-8-GHP-Woodland-Heights-Mumbai-5026804_972_1296.JPEG
4BHK Multistorey Apartment for Rent in Lodha Bel Air at Jogeshwari West,1.5 Lac,2000 12800,4,4,Semi-Furnished,1,1,,North,"Garden/Park, Pool",Rent,Apartment,Mumbai,2008,F,"4 BHK, Multistorey Apartment is available for Rent in Jogeshwari West, Mumbai for 1.50 Lac(s)",2021/02/07/Project-Photo-7-Lodha-Bel-Air-Mumbai-5122535_500_850.jpg
2BHK Multistorey Apartment for Rent in Raheja Heights at Malad East,"70,000",1165 12800,2,2,Semi-Furnished,3,12,,East,Garden/Park,Rent,Apartment,Mumbai,2009,F,"2 BHK, Multistorey Apartment is available for Rent in Malad East, Mumbai for 70,000",Project-Photo-1-Rheja-height-Mumbai-5029249_480_1366.jpg
3BHK Multistorey Apartment for Rent in Andheri West,"75,000",1500 12800,3,3,Furnished,3,10,,East,Main Road,Rent,Apartment,Mumbai,1998,F,"3 BHK, Multistorey Apartment is available for Rent in Andheri West, Mumbai for 75,000",67567993_1_1686990380278-419.jpg
2BHK Multistorey Apartment for Rent in F Residences Malad at Malad East,"60,000",900 12800,2,2,Semi-Furnished,,10,,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2017,F,"2 BHK, Multistorey Apartment is available for Rent in Malad East, Mumbai for 60,000",2019/08/01/Project-Photo-13-F-Residences-Malad-Mumbai-5098545_960_1280.jpg
1BHK Multistorey Apartment for Rent in Trans Residency at Andheri East,"35,000",600 12800,1,1,Furnished,,3,,East,Garden/Park,Rent,Apartment,Mumbai,2008,F,"1 BHK, Multistorey Apartment is available for Rent in Andheri East, Mumbai for 35,000",Project-Photo-12-Trans-Residency-Mumbai-5038034_972_1296.JPEG
2BHK Multistorey Apartment for Rent in Central Area,"54,000",910 12800,2,2,Semi-Furnished,,2,,East,,Rent,Apartment,Mumbai,1998,F,"2 BHK, Multistorey Apartment is available for Rent in Central Area, Mumbai for 54,000",
2BHK Multistorey Apartment for Rent in Crystal Palace at Chandivali,"48,000",1000 12800,2,2,Unfurnished,,3,Freehold,East,"Pool, Garden/Park, Main Road",Rent,Apartment,Mumbai,1998,F,"2 BHK, Multistorey Apartment is available for Rent in Chandivali, Mumbai for 48,000",2022/11/10/Project-Photo-5-Crystal-Palace-Mumbai-5090002_1500_2000.jpg
3BHK Multistorey Apartment for Rent in Acme Elite at Poonam Nagar Jogeshwari East,"70,000",1500 12800,3,3,Semi-Furnished,1,2,,East,Main Road,Rent,Apartment,Mumbai,2008,F,"3 BHK, Multistorey Apartment is available for Rent in Poonam Nagar Jogeshwari East, Mumbai for 70,000",Project-Photo-1-Acme-Elite-Mumbai-5043231_1224_1632.JPEG
2BHK Multistorey Apartment for Rent in Ekta Lake Homes at Powai,"57,000",900 12800,2,2,Semi-Furnished,1,4,Freehold,North - East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,1998,F,"2 BHK, Multistorey Apartment is available for Rent in Powai, Mumbai for 57,000",ekta_lake_homes-default5.jpg
1BHK Multistorey Apartment for Rent in Raheja Heights at Malad East,"42,000",690 12800,1,1,Semi-Furnished,2,2,,East,Garden/Park,Rent,Apartment,Mumbai,2009,F,"1 BHK, Multistorey Apartment is available for Rent in Malad East, Mumbai for 42,000",Project-Photo-1-Rheja-height-Mumbai-5029249_480_1366.jpg
2BHK Multistorey Apartment for Rent in Runwal Bliss at Kanjurmarg East,"55,000",1050 12800,2,2,Semi-Furnished,1,11,,East,,Rent,Apartment,Mumbai,1998,F,"2 BHK, Multistorey Apartment is available for Rent in Kanjurmarg East, Mumbai for 55,000",2022/09/21/Project-Photo-67-Runwal-Bliss-Mumbai-5073404_600_800.jpg
3BHK Multistorey Apartment for Rent in paradise raheja vihar at Raheja Vihar,"96,000",1501 12800,3,3,Furnished,,9,,East,Garden/Park,Rent,Apartment,Mumbai,2007,F,"3 BHK, Multistorey Apartment is available for Rent in Raheja Vihar, Mumbai for 96,000",
3BHK Multistorey Apartment for Rent in DLH Square at Juhu,3 Lac,4000 12800,3,3,Semi-Furnished,1,10,Leasehold,East,Main Road,Rent,Apartment,Mumbai,2011,F,"3 BHK, Multistorey Apartment is available for Rent in Juhu, Mumbai for 3.0 Lac(s)",Project-Photo-16-DLH-Square-Mumbai-5042375_1224_1632.JPEG
3BHK Multistorey Apartment for Rent in Ashok tower at Parel,2.5 Lac,1915 12800,3,3,Semi-Furnished,,15,Leasehold,East,Main Road,Rent,Apartment,Mumbai,2011,F,"3 BHK, Multistorey Apartment is available for Rent in Parel, Mumbai for 2.50 Lac(s)",Project-Photo-17-Ashok-tower-Mumbai-5029037_1632_1224.JPEG
1BHK Multistorey Apartment for Rent in Amrut Nagar C.H.S. Ltd at Ghatkopar West,"28,000",500 12800,1,1,Semi-Furnished,,1,,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,1998,F,"1 BHK, Multistorey Apartment is available for Rent in Ghatkopar West, Mumbai for 28,000",68399187_6_hatsAppImage20230801at11.51.57.jpeg
2BHK Multistorey Apartment for Rent in Girdhar Park at Malad West,"44,000",1050 12800,2,2,Unfurnished,,4,,North,Garden/Park,Rent,Apartment,Mumbai,2009,F,"2 BHK, Multistorey Apartment is available for Rent in Malad West, Mumbai for 44,000",68060429_1_.jpeg
1BHK Multistorey Apartment for Rent in Sher e Punjab at Andheri East,"18,000",550 12800,1,1,Semi-Furnished,,Ground,,East,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Andheri East, Mumbai for 18,000",2022/08/12/Project-Photo-18-Sher-e-Punjab-Mumbai-5001312_1080_1440.JPG
2BHK Multistorey Apartment for Rent in Pestom Sagar Colony,"40,000",1100 12800,2,2,Unfurnished,,Ground,,East,Garden/Park,Rent,Apartment,Mumbai,2008,F,"2 BHK, Multistorey Apartment is available for Rent in Pestom Sagar Colony, Mumbai for 40,000",
3BHK Multistorey Apartment for Rent in Bandra East,1.4 Lac,1800 12800,3,3,Semi-Furnished,1,5,Co-operative Society,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,1990,F,"3 BHK, Multistorey Apartment is available for Rent in Bandra East, Mumbai for 1.40 Lac(s)",
2BHK Multistorey Apartment for Rent in Jogeshwari East,"52,000",None ,2,2,Unfurnished,1,8,,,Main Road,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Jogeshwari East, Mumbai for 52,000",
1BHK Multistorey Apartment for Rent in Hatkesh Udhog Nagar,"17,000",770 12800,1,1,Unfurnished,,11,,North - East,Main Road,Rent,Apartment,Mumbai,2012,F,"1 BHK, Multistorey Apartment is available for Rent in Hatkesh Udhog Nagar, Mumbai for 17,000",
2BHK Multistorey Apartment for Rent in Lodha Park at Worli,1.3 Lac,None ,2,3,Unfurnished,3,49,,North - East,Main Road,Rent,Apartment,Mumbai,2004,F,"2 BHK, Multistorey Apartment is available for Rent in Worli, Mumbai for 1.25 Lac(s)",2021/01/15/Project-Photo-90-Lodha-The-Park-Mumbai-5020931_600_800.jpg
3BHK Multistorey Apartment for Rent in Raheja Acropolis at Chembur,1.1 Lac,None ,3,2,Semi-Furnished,,17,Leasehold,East,Main Road,Rent,Apartment,Mumbai,2011,F,"3 BHK, Multistorey Apartment is available for Rent in Chembur, Mumbai for 1.10 Lac(s)",Raheja Acropolis-default.jpg
3BHK Multistorey Apartment for Rent in Runwal Orchard Residency at Ghatkopar West,"75,000",1490 12800,3,3,Unfurnished,,11,,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1998,F,"3 BHK, Multistorey Apartment is available for Rent in Ghatkopar West, Mumbai for 75,000",66938335_6_7BEDROOM01.jpeg
4BHK Multistorey Apartment for Rent in DB Woods at Gokuldham Colony Goregaon East,1.3 Lac,2850 12800,4,4,Semi-Furnished,1,9,,North - East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2010,F,"4 BHK, Multistorey Apartment is available for Rent in Gokuldham Colony Goregaon East, Mumbai for 1.25 Lac(s)",Project-Photo-15-DB-Woods-Mumbai-5022852_1296_728.JPEG
3BHK Multistorey Apartment for Rent in Wadala East,1.6 Lac,1600 12800,3,3,Unfurnished,3,19,,East,Garden/Park,Rent,Apartment,Mumbai,2002,F,"3 BHK, Multistorey Apartment is available for Rent in Wadala East, Mumbai for 1.60 Lac(s)",
1BHK Multistorey Apartment for Rent in Crescent Landmark at Andheri East,"42,000",None ,1,2,Semi-Furnished,,13,Leasehold,East,Main Road,Rent,Apartment,Mumbai,2011,F,"1 BHK, Multistorey Apartment is available for Rent in Andheri East, Mumbai for 42,000",2020/08/11/Project-Photo-1-Crescent-Landmark-Mumbai-5120049_1333_1000.jpg
3BHK Multistorey Apartment for Rent in Ghatkopar West,"50,000",1250 12800,3,2,Semi-Furnished,,2,,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,1998,F,"3 BHK, Multistorey Apartment is available for Rent in Ghatkopar West, Mumbai for 50,000",67989393_3_hatsAppImage20230710at15.20.231.jpeg
2BHK Multistorey Apartment for Rent in Neelkanth Enclave at Ghatkopar West,"75,000",951 12800,2,2,Furnished,2,7,,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1998,F,"2 BHK, Multistorey Apartment is available for Rent in Ghatkopar West, Mumbai for 75,000",67863483_1_3.jpeg
2BHK Multistorey Apartment for Rent in Presidential Tower at Ghatkopar West,"60,000",1292 12800,2,2,Semi-Furnished,1,5,,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1998,F,"2 BHK, Multistorey Apartment is available for Rent in Ghatkopar West, Mumbai for 60,000",67863303_4_hatsAppImage20230704at12.57.39PM1.jpeg
4BHK Multistorey Apartment for Rent in Omkar Alta Monte at Pathan Wadi,"95,000",3005 12800,4,2,Semi-Furnished,2,2,,East,,Rent,Apartment,Mumbai,2009,F,"4 BHK, Multistorey Apartment is available for Rent in Pathan Wadi, Mumbai for 95,000",67215327_2_bhkapartmentforsalemaladeastMumbaibalcony.jpg
4BHK Multistorey Apartment for Rent in Worli,3.3 Lac,2200 12800,4,5,Semi-Furnished,2,25,,South - East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2005,F,"4 BHK, Multistorey Apartment is available for Rent in Worli, Mumbai for 3.25 Lac(s)",67571425_3_5.jpg
3BHK Multistorey Apartment for Rent in Raheja Imperia I at Worli,2.6 Lac,1800 12800,3,4,Semi-Furnished,2,30,,South - East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2005,F,"3 BHK, Multistorey Apartment is available for Rent in Worli, Mumbai for 2.60 Lac(s)",2021/12/19/Project-Photo-46-Raheja-Imperia-Mumbai-5072168_166_324.jpg
3BHK Multistorey Apartment for Rent in Tulipia And Tilia Apartment at Chandivali,1.2 Lac,1700 12800,3,3,Furnished,1,15,,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2005,F,"3 BHK, Multistorey Apartment is available for Rent in Chandivali, Mumbai for 1.20 Lac(s)",
4BHK Multistorey Apartment for Rent in Runwal Elegante at Andheri West,1.8 Lac,2780 12800,4,4,Furnished,2,14,,North - West,"Pool, Garden/Park, Main Road",Rent,Apartment,Mumbai,2016,F,"4 BHK, Multistorey Apartment is available for Rent in Andheri West, Mumbai for 1.75 Lac(s)",66555041_2_PropertyImage719-0068470353381.jpg
1BHK Multistorey Apartment for Rent in udharam house at Hill Road,"45,000",600 12800,1,1,Furnished,,Ground,,West,Main Road,Rent,Apartment,Mumbai,2007,F,"1 BHK, Multistorey Apartment is available for Rent in Hill Road, Mumbai for 45,000",
1BHK Multistorey Apartment for Rent in Chembur,"53,000",650 12800,1,2,Furnished,,3,,East,Garden/Park,Rent,Apartment,Mumbai,2002,F,"1 BHK, Multistorey Apartment is available for Rent in Chembur, Mumbai for 53,000",
3BHK Multistorey Apartment for Rent in Juhu Versova Link Road,"85,000",2200 12800,3,3,Semi-Furnished,,6,,,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2000,F,"3 BHK, Multistorey Apartment is available for Rent in Juhu Versova Link Road, Mumbai for 85,000",
2BHK Multistorey Apartment for Rent in Bandra West,2.2 Lac,1200 12800,2,2,Furnished,,7,Freehold,South -West,Garden/Park,Rent,Apartment,Mumbai,2012,F,"2 BHK, Multistorey Apartment is available for Rent in Bandra West, Mumbai for 2.15 Lac(s)",
2BHK Multistorey Apartment for Rent in A&O F Residency at Malad East,"55,000",1200 12800,2,2,Semi-Furnished,,10,,East,Main Road,Rent,Apartment,Mumbai,2011,F,"2 BHK, Multistorey Apartment is available for Rent in Malad East, Mumbai for 55,000",
3BHK Multistorey Apartment for Rent in A&O F Residency at Malad East,"70,000",1500 12800,3,3,Semi-Furnished,,15,,East,Main Road,Rent,Apartment,Mumbai,2011,F,"3 BHK, Multistorey Apartment is available for Rent in Malad East, Mumbai for 70,000",
3BHK Multistorey Apartment for Rent in Chembur East,"75,000",1500 12800,3,3,Unfurnished,,8,,North,Garden/Park,Rent,Apartment,Mumbai,2002,F,"3 BHK, Multistorey Apartment is available for Rent in Chembur East, Mumbai for 75,000",
3BHK Multistorey Apartment for Rent in Sandhya Eve Horizon  at Kandivali West,"50,000",1250 12800,3,3,Unfurnished,,5,Co-operative Society,East,Garden/Park,Rent,Apartment,Mumbai,2012,F,"3 BHK, Multistorey Apartment is available for Rent in Kandivali West, Mumbai for 50,000",
2BHK Multistorey Apartment for Rent in Kismat Apartment at Bandra West,1.5 Lac,1200 12800,2,2,Furnished,,5,,West,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2007,F,"2 BHK, Multistorey Apartment is available for Rent in Bandra West, Mumbai for 1.45 Lac(s)",
2BHK Multistorey Apartment for Rent in Khar West,"80,000",900 12800,2,2,Unfurnished,1,4,Freehold,,Main Road,Rent,Apartment,Mumbai,2010,F,"2 BHK, Multistorey Apartment is available for Rent in Khar West, Mumbai for 80,000",60698023_2_PropertyImage579-746521049296.jpg
4BHK Multistorey Apartment for Rent in Bandra West,5.5 Lac,4800 12800,4,6,Semi-Furnished,3,11,Freehold,South -West,Garden/Park,Rent,Apartment,Mumbai,2012,F,"4 BHK, Multistorey Apartment is available for Rent in Bandra West, Mumbai for 5.50 Lac(s)",
1BHK Multistorey Apartment for Rent in Firdous Apartment at Ranwar Bandra West,"75,000",700 12800,1,2,Furnished,,3,,,,Rent,Apartment,Mumbai,2007,F,"1 BHK, Multistorey Apartment is available for Rent in Ranwar Bandra West, Mumbai for 75,000",
2BHK Multistorey Apartment for Rent in Sandhya Eve Horizon  at Sector 3 Charkop,"45,000",915 12800,2,2,Semi-Furnished,,9,,East,Main Road,Rent,Apartment,Mumbai,2012,F,"2 BHK, Multistorey Apartment is available for Rent in Sector 3 Charkop, Mumbai for 45,000",
2BHK Multistorey Apartment for Rent in Vintage Pearl Apartment at Bandra West,1.1 Lac,1000 12800,2,2,Furnished,,3,,East,Main Road,Rent,Apartment,Mumbai,2007,F,"2 BHK, Multistorey Apartment is available for Rent in Bandra West, Mumbai for 1.10 Lac(s)",
2BHK Multistorey Apartment for Rent in Michale Apartment at Mulund West,"40,000",700 12800,2,2,Semi-Furnished,,4,,North - East,Main Road,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Mulund West, Mumbai for 40,000",
2BHK Multistorey Apartment for Rent in Oliva Apartments at Govandi East,"65,000",1200 12800,2,2,Unfurnished,,8,,North - East,Garden/Park,Rent,Apartment,Mumbai,2002,F,"2 BHK, Multistorey Apartment is available for Rent in Govandi East, Mumbai for 65,000",
2BHK Multistorey Apartment for Rent in ACE Florence at Mulund West,"45,000",800 12800,2,2,Unfurnished,,3,,North - East,Main Road,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Mulund West, Mumbai for 45,000",
2BHK Multistorey Apartment for Rent in Shirley,1 Lac,1000 12800,2,2,Furnished,,3,,South,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2007,F,"2 BHK, Multistorey Apartment is available for Rent in Shirley, Mumbai for 1.0 Lac(s)",
1BHK Multistorey Apartment for Rent in Govandi East,"35,000",700 12800,1,2,Unfurnished,,3,,North - East,Garden/Park,Rent,Apartment,Mumbai,2002,F,"1 BHK, Multistorey Apartment is available for Rent in Govandi East, Mumbai for 35,000",
3BHK Multistorey Apartment for Rent in Kandivali West,"85,000",1500 12800,3,3,Furnished,,12,,East,Garden/Park,Rent,Apartment,Mumbai,2012,F,"3 BHK, Multistorey Apartment is available for Rent in Kandivali West, Mumbai for 85,000",
2BHK Multistorey Apartment for Rent in Wadala,"80,000",None ,2,2,Semi-Furnished,2,5,,,Main Road,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Wadala, Mumbai for 80,000",
4BHK Multistorey Apartment for Rent in Hiranandani Ambrosia at Hiranandani Gardens,2.6 Lac,3200 12800,4,4,Furnished,3,13,,East,Main Road,Rent,Apartment,Mumbai,,F,"4 BHK, Multistorey Apartment is available for Rent in Hiranandani Gardens, Mumbai for 2.60 Lac(s)",
2BHK Multistorey Apartment for Rent in Mahim West,"85,000",1500 12800,2,2,Semi-Furnished,1,1,,West,"Garden/Park, Main Road",Rent,Apartment,Mumbai,1990,F,"2 BHK, Multistorey Apartment is available for Rent in Mahim West, Mumbai for 85,000",68552141_9_hatsAppImage20230809at7.19.41PM1.jpeg
4BHK Penthouse for Rent in Chembur East,1.2 Lac,2470 12800,4,3,Semi-Furnished,,6,,East,Main Road,Rent,Penthouse,Mumbai,,F,"4 BHK, Penthouse is available for Rent in Chembur East, Mumbai for 1.20 Lac(s)",68554381_8_767719910d5ef1385d544ba4b5ba52f2de867305.jpg
 Studio Apartment for Rent in Mahalaxmi CHS at Worli,"31,000",450 12800,,1,Unfurnished,,17,,East,Main Road,Rent,Studio Apartment,Mumbai,2011,F,"  Studio Apartment is available for Rent in Worli, Mumbai for 31,000",68554199_1_PropertyImage120-3565341737789.jpg
2BHK Multistorey Apartment for Rent in Bandra West,2.5 Lac,1500 12800,2,3,Furnished,,7,,West,Main Road,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Bandra West, Mumbai for 2.50 Lac(s)",68507977_10_hatsAppImage20230807at6.30.50AM2.jpeg
1BHK Multistorey Apartment for Rent in Matruchhaya CHS Prabhadevi  at Prabhadevi,"45,000",550 12800,1,1,Semi-Furnished,,4,,North - East,,Rent,Apartment,Mumbai,2008,F,"1 BHK, Multistorey Apartment is available for Rent in Prabhadevi, Mumbai for 45,000",68540991_4_PropertyImage500-9317893118517.jpg
1BHK Multistorey Apartment for Rent in Mahim,"28,000",450 12800,1,1,Semi-Furnished,,1,,West,Main Road,Rent,Apartment,Mumbai,1990,F,"1 BHK, Multistorey Apartment is available for Rent in Mahim, Mumbai for 28,000",68536093_2_hatsAppImage20230809at12.58.44PM2.jpeg
1BHK Multistorey Apartment for Rent in Baya Central at Lower Parel,"40,000",550 12800,1,2,Unfurnished,,10,,North - East,,Rent,Apartment,Mumbai,2008,F,"1 BHK, Multistorey Apartment is available for Rent in Lower Parel, Mumbai for 40,000",68539553_1_PropertyImage287-61537588883414.jpg
2BHK Multistorey Apartment for Rent in Chembur East,"60,000",845 12800,2,2,Unfurnished,,5,,East,Main Road,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Chembur East, Mumbai for 60,000",68551591_6_ca605788dd8417fb869fe2f0dd93644.jpg
2BHK Multistorey Apartment for Rent in Mahim West,"65,000",850 12800,2,2,Furnished,1,2,,North - East,,Rent,Apartment,Mumbai,2008,F,"2 BHK, Multistorey Apartment is available for Rent in Mahim West, Mumbai for 65,000",68551125_3_PropertyImage861-7339140620448.jpg
1BHK Multistorey Apartment for Rent in Chembur East,"55,000",559 12800,1,2,Furnished,,4,,East,Main Road,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Chembur East, Mumbai for 55,000",68550793_4_6851cf747b54320b24d19ef9c9924e7.jpg
1BHK Multistorey Apartment for Rent in Chembur East,"30,000",559 12800,1,2,Unfurnished,,5,,East,Main Road,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Chembur East, Mumbai for 30,000",68551189_7_5b14437094247daa4eeaa11b70938dc.jpg
1BHK Multistorey Apartment for Rent in Chembur East,"55,000",585 12800,1,2,Furnished,,4,,East,Main Road,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Chembur East, Mumbai for 55,000",68533143_5_7c65e55c30f439a918cb2d6325a7dff.jpg
1BHK Multistorey Apartment for Rent in Rizvi Gabriel House at Mahim,"25,000",350 12800,1,1,Semi-Furnished,,5,,East,Main Road,Rent,Apartment,Mumbai,2011,F,"1 BHK, Multistorey Apartment is available for Rent in Mahim, Mumbai for 25,000",68510261_1_PropertyImage948-4925298545566.jpg
1BHK Multistorey Apartment for Rent in Pestom Sagar Colony,"31,000",520 12800,1,1,Furnished,,Lower Basement,,East,Garden/Park,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Pestom Sagar Colony, Mumbai for 31,000",68557583_3_1691685745084-91.jpg
1BHK Multistorey Apartment for Rent in Earth Vintage at Dadar,"50,000",625 12800,1,1,Unfurnished,,10,,East,Main Road,Rent,Apartment,Mumbai,2010,F,"1 BHK, Multistorey Apartment is available for Rent in Dadar, Mumbai for 50,000",68557091_7_PropertyImage535-4245854038929.jpg
2BHK Multistorey Apartment for Rent in Adarsh Nagar Worli,"70,000",650 12800,2,1,Furnished,,Ground,,West,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2010,F,"2 BHK, Multistorey Apartment is available for Rent in Adarsh Nagar Worli, Mumbai for 70,000",68557201_2_PropertyImage917-0618135082386.jpg
2BHK Multistorey Apartment for Rent in Matunga West,"75,000",850 12800,2,2,Furnished,,3,,North - East,,Rent,Apartment,Mumbai,2008,F,"2 BHK, Multistorey Apartment is available for Rent in Matunga West, Mumbai for 75,000",68531243_1_PropertyImage577-4665060680458.jpg
1BHK Multistorey Apartment for Rent in Parel,"50,000",650 12800,1,1,Unfurnished,,7,,North - East,,Rent,Apartment,Mumbai,2008,F,"1 BHK, Multistorey Apartment is available for Rent in Parel, Mumbai for 50,000",68532259_4_PropertyImage245-01866733617263.jpg
2BHK Multistorey Apartment for Rent in Worli,"50,000",650 12800,2,2,Furnished,,Ground,,North - East,,Rent,Apartment,Mumbai,2008,F,"2 BHK, Multistorey Apartment is available for Rent in Worli, Mumbai for 50,000",68531505_2_PropertyImage641-1392514202938.jpg
1BHK Multistorey Apartment for Rent in Byculla West,"33,000",450 12800,1,1,Unfurnished,,10,,North - East,,Rent,Apartment,Mumbai,2008,F,"1 BHK, Multistorey Apartment is available for Rent in Byculla West, Mumbai for 33,000",68531655_1_PropertyImage609-0164916093433.jpg
"3BHK Multistorey Apartment for Rent in Alpine Shapoorji Pallonji at Thakur Village, Kandivali East","80,000",1830 12800,3,3,Semi-Furnished,1,30,,North,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2008,F,"3 BHK, Multistorey Apartment is available for Rent in Thakur Village, Mumbai for 80,000",56855193_11_PropertyImage40-72077414931674.jpg
2BHK Multistorey Apartment for Rent in Whispering Palms Xxclusives at Lokhandwala Township Kandivali East,"45,000",1000 12800,2,2,Semi-Furnished,1,8,,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2008,F,"2 BHK, Multistorey Apartment is available for Rent in Lokhandwala Township Kandivali East, Mumbai for 45,000",29987909_2_PropertyImage517-5192059661917.jpg
"3BHK Multistorey Apartment for Rent in Viceroy Park at Thakur Village, Kandivali East","75,000",1385 12800,3,3,Semi-Furnished,1,15,,East,Main Road,Rent,Apartment,Mumbai,2008,F,"3 BHK, Multistorey Apartment is available for Rent in Thakur Village, Mumbai for 75,000",59044507_12_PropertyImage593-0586144553463.jpg
1BHK Multistorey Apartment for Rent in DB Ozone at Golden Nest Phase 1,"15,000",585 12800,1,2,Semi-Furnished,1,10,,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2008,F,"1 BHK, Multistorey Apartment is available for Rent in Golden Nest Phase 1, Mumbai for 15,000",45779911_8_PropertyImage272-9220334628674.jpg
1BHK Multistorey Apartment for Rent in Lokhandwala Township Kandivali East,"25,000",524 12800,1,2,Semi-Furnished,,5,,East,"Pool, Garden/Park, Main Road",Rent,Apartment,Mumbai,2008,F,"1 BHK, Multistorey Apartment is available for Rent in Lokhandwala Township Kandivali East, Mumbai for 25,000",30647283_8_PropertyImage627-769547997535.jpg
"3BHK Multistorey Apartment for Rent in Bredco New Viceroy Park at Thakur Village, Kandivali East","70,000",1385 12800,3,3,Furnished,1,9,,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2008,F,"3 BHK, Multistorey Apartment is available for Rent in Thakur Village, Mumbai for 70,000",64078231_2_3262197_7_hatsAppImage2021-06-19at6.59.49PM(1)_470_1080.jpeg
4BHK Multistorey Apartment for Rent in Pali Hill,3.6 Lac,2500 12800,4,4,Semi-Furnished,2,10,,West,Main Road,Rent,Apartment,Mumbai,,F,"4 BHK, Multistorey Apartment is available for Rent in Pali Hill, Mumbai for 3.60 Lac(s)",61990937_5_hatsAppImage2022-07-06at4.29.36AM(2).jpeg
1BHK Multistorey Apartment for Rent in Prabhadevi,"60,000",600 12800,1,1,Semi-Furnished,,4,,East,"Pool, Garden/Park, Main Road",Rent,Apartment,Mumbai,2011,F,"1 BHK, Multistorey Apartment is available for Rent in Prabhadevi, Mumbai for 60,000",68439729_1_PropertyImage284-9239707214528.jpg
2BHK Multistorey Apartment for Rent in Palli Hill at Pali Hill,1 Lac,1200 12800,2,2,Semi-Furnished,,12,,West,Garden/Park,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Pali Hill, Mumbai for 1.0 Lac(s)",58993099_8_hatsAppImage2022-01-14at9.53.57PM.jpeg
1BHK Multistorey Apartment for Rent in Mahalaxmi CHS at Worli,"30,000",525 12800,1,1,Unfurnished,,10,,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2010,F,"1 BHK, Multistorey Apartment is available for Rent in Worli, Mumbai for 30,000",60471979_8_PropertyImage478-4461222794514.jpg
2BHK Multistorey Apartment for Rent in Lodha Park at Worli,1.6 Lac,1157 12800,2,2,Semi-Furnished,1,71,,East,"Pool, Garden/Park, Main Road",Rent,Apartment,Mumbai,2011,F,"2 BHK, Multistorey Apartment is available for Rent in Worli, Mumbai for 1.60 Lac(s)",68431113_3_PropertyImage683-6981513768999.jpg
5BHK Multistorey Apartment for Rent in Santacruz West,2 Lac,3000 12800,5,5,Semi-Furnished,2,3,,East,Main Road,Rent,Apartment,Mumbai,,F,"5 BHK, Multistorey Apartment is available for Rent in Santacruz West, Mumbai for 2.0 Lac(s)",61873051_8_hatsAppImage2022-06-30at12.46.08AM(1).jpeg
