Title,Price,Area,BHK,Bathrooms,Furnished,Balconies,Floor,Ownership,Facing,Amenities,Transaction Type,Property Type,Location,Year of Construction,Is Luxury,Description,Property Image
2BHK Multistorey Apartment for Rent in L&T Crescent Bay at Parel,1.1 Lac,1345 12800,2,2,Semi-Furnished,,,,West,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Parel, Mumbai for 1.50 Lac(s)",65456223_10_PropertyImage1676535607363.jpg
3BHK Multistorey Apartment for Rent in Lodha New Cuffe Parade at Wadala,1.3 Lac,1645 12800,3,4,Semi-Furnished,2,,,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2003,F,"3 BHK, Multistorey Apartment is available for Rent in Wadala, Mumbai for 1.30 Lac(s)",64636117_1_1684836443727_image_2_11zon.jpg
5BHK Multistorey Apartment for Rent in Windsor Grande Residences at Andheri West,7.5 Lac,6600 12800,5,6,Furnished,5,6,,North - East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1997,F,"5 BHK, Multistorey Apartment is available for Rent in Andheri West, Mumbai for 7.50 Lac(s)",62398379_4_PropertyImage121-04240153384482.jpg
4BHK Multistorey Apartment for Rent in Celestia Spaces at Cotton Green,1.6 Lac,2100 12800,4,3,Semi-Furnished,,48,,North - East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,1989,F,"4 BHK, Multistorey Apartment is available for Rent in Cotton Green, Mumbai for 1.60 Lac(s)",68374339_3_Wing402CelestiaSpacesforRent16.jpeg
3BHK Multistorey Apartment for Rent in Piramal Revanta at Mulund West,"80,000",1700 12800,3,3,Semi-Furnished,,18,,North,"Pool, Garden/Park, Main Road",Rent,Apartment,Mumbai,2015,F,"3 BHK, Multistorey Apartment is available for Rent in Mulund West, Mumbai for 80,000",68494621_7_PropertyImage299-7643533910338.jpg
4BHK Multistorey Apartment for Rent in Dunhill Apartment at Pali Hill,5 Lac,2500 12800,4,3,Unfurnished,3,16,,West,Garden/Park,Rent,Apartment,Mumbai,1999,F,"4 BHK, Multistorey Apartment is available for Rent in Pali Hill, Mumbai for 5.0 Lac(s)",66827567_9_91ae25c92e346b8b58d6e19c7dcada3.jpg
2BHK Multistorey Apartment for Rent in Sagar Kanya at Andheri West,"75,000",1120 12800,2,2,Furnished,,2,,East,Main Road,Rent,Apartment,Mumbai,1980,F,"2 BHK, Multistorey Apartment is available for Rent in Andheri West, Mumbai for 75,000",67233457_7_0539659f73145edbfb6d95cd429b68c.jpg
1BHK Multistorey Apartment for Rent in Vile Parle East,"45,000",800 12800,1,2,Semi-Furnished,1,4,,West,Main Road,Rent,Apartment,Mumbai,2016,F,"1 BHK, Multistorey Apartment is available for Rent in Vile Parle East, Mumbai for 45,000",67569377_3_.jpg
5BHK Multistorey Apartment for Rent in Lodha World View at Worli,7.5 Lac,6173 12800,5,8,Semi-Furnished,2,25,,South - East,Garden/Park,Rent,Apartment,Mumbai,,F,"5 BHK, Multistorey Apartment is available for Rent in Worli, Mumbai for 7.50 Lac(s)",61265179_10_hatsAppImage2022-05-17at1.03.25PM.jpeg
3BHK Multistorey Apartment for Rent in Oberoi Exquisite at Goregaon East,1.7 Lac,1820 12800,3,3,Semi-Furnished,3,37,,West,"Main Road, Garden/Park",Rent,Apartment,Mumbai,,F,"3 BHK, Multistorey Apartment is available for Rent in Goregaon East, Mumbai for 1.65 Lac(s)",68453631_8_1691757965647-801.jpg
1BHK Multistorey Apartment for Rent in Sea Crown at Charkop Gaon,"27,000",620 12800,1,2,Unfurnished,3,5,,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2015,F,"1 BHK, Multistorey Apartment is available for Rent in Charkop Gaon, Mumbai for 27,000",67333647_10_PropertyImage833-5580303628047.jpg
2BHK Multistorey Apartment for Rent in Ruparel Ariana at Parel,"90,000",1100 12800,2,2,Unfurnished,,10,,North - East,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Parel, Mumbai for 90,000",68398431_4_HBLImcfaTiUStkZ9oIqFl5DH7ufwac3Sw4NKgk.jpeg
3BHK Multistorey Apartment for Rent in Celestia Spaces at Sewri,1.6 Lac,1413 12800,3,3,Semi-Furnished,,11,,North - East,Main Road,Rent,Apartment,Mumbai,2011,F,"3 BHK, Multistorey Apartment is available for Rent in Sewri, Mumbai for 1.55 Lac(s)",64750371_2_PropertyImage68-85364388237214.jpg
2BHK Multistorey Apartment for Rent in Runwal Forests at Kanjurmarg West,"58,000",1200 12800,2,2,Semi-Furnished,2,26,Freehold,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2014,F,"2 BHK, Multistorey Apartment is available for Rent in Kanjurmarg West, Mumbai for 58,000",67761193_6_PropertyImage893-9847046505491.jpg
2BHK Multistorey Apartment for Rent in Veena Serenity at Chembur,"55,000",870 12800,2,2,Unfurnished,,8,Freehold,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Chembur, Mumbai for 55,000",63138729_8_06374805_793767258486011_455933480813523758_n.jpg
3BHK Multistorey Apartment for Rent in MICL Aaradhya High Park at Mahajan Wadi,"42,000",1201 12800,3,2,Semi-Furnished,2,12,,East,"Garden/Park, Pool",Rent,Apartment,Mumbai,,F,"3 BHK, Multistorey Apartment is available for Rent in Mahajan Wadi, Mumbai for 42,000",68268617_8_hatsAppImage20230723at13.51.1710.jpg
1BHK Multistorey Apartment for Rent in Marol,"22,099",500 12800,1,1,Furnished,,1,,,,Rent,Apartment,Mumbai,2016,F,"1 BHK, Multistorey Apartment is available for Rent in Marol, Mumbai for 22,099",66796633_6_uozwjbatalwyuh2soov.jpg
3BHK Multistorey Apartment for Rent in Indiabulls Blu at Adarsh Nagar Worli,4.3 Lac,2361 12800,3,4,Furnished,,30,,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1995,F,"3 BHK, Multistorey Apartment is available for Rent in Adarsh Nagar Worli, Mumbai for 4.25 Lac(s)",Project-Photo-15-Indiabulls-Blu-Mumbai-5021716_535_710.jpg
2BHK Multistorey Apartment for Rent in Marol,"60,000",1000 12800,2,2,Furnished,,1,,North - East,Garden/Park,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Marol, Mumbai for 60,000",65471685_7_hatsAppImage20230204at1.46.07PM.jpeg
3BHK Multistorey Apartment for Rent in Mulund West,"70,000",1450 12800,3,3,Semi-Furnished,,20,,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,1985,F,"3 BHK, Multistorey Apartment is available for Rent in Mulund West, Mumbai for 70,000",66957799_10_PropertyImage232-98881521173365.jpg
2BHK Multistorey Apartment for Rent in Ekta Tripolis at Goregaon West,"70,000",1278 12800,2,2,Semi-Furnished,,14,,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1986,F,"2 BHK, Multistorey Apartment is available for Rent in Goregaon West, Mumbai for 70,000",68564749_11_mgbig11.jpg
3BHK Multistorey Apartment for Rent in Celestia Spaces at Sewri,1.5 Lac,2303 12800,3,4,Unfurnished,1,37,Freehold,East,"Pool, Garden/Park, Main Road",Rent,Apartment,Mumbai,2007,F,"3 BHK, Multistorey Apartment is available for Rent in Sewri, Mumbai for 1.49 Lac(s)",67834089_1_PropertyImage689-8697642450641.jpg
3BHK Multistorey Apartment for Rent in Lokhandwala Minerva at Mahalakshmi,2 Lac,2550 12800,3,3,Unfurnished,2,39,,West,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2010,F,"3 BHK, Multistorey Apartment is available for Rent in Mahalakshmi, Mumbai for 2.0 Lac(s)",66851951_5_WhatsApp-Image-2023-04-27-at-4-10-13-PM.jpeg
2BHK Multistorey Apartment for Rent in L&T Crescent Bay at Parel,1.2 Lac,1200 12800,2,2,Semi-Furnished,2,,,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1998,F,"2 BHK, Multistorey Apartment is available for Rent in Parel, Mumbai for 1.20 Lac(s)",67007523_1_PropertyImage1683980960432.jpg
3BHK Multistorey Apartment for Rent in Lodha New Cuffe Parade at Wadala,1.2 Lac,1350 12800,3,2,Unfurnished,4,24,,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2015,F,"3 BHK, Multistorey Apartment is available for Rent in Wadala, Mumbai for 1.20 Lac(s)",68237283_2_1689923595052-356.jpg
2BHK Multistorey Apartment for Rent in L&T Crescent Bay at Parel,1.1 Lac,1150 12800,2,2,Semi-Furnished,2,35,,East,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Parel, Mumbai for 1.90 Lac(s)",67232219_1_1685091091924-359.jpg
1BHK Multistorey Apartment for Rent in JP North Elara at Mira Road Area,"19,000",685 12800,1,2,Unfurnished,3,14,,North - East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2017,F,"1 BHK, Multistorey Apartment is available for Rent in Mira Road Area, Mumbai for 19,000",66415755_9_PropertyImage4-61254978608594.jpg
2BHK Multistorey Apartment for Rent in Ajmera Zeon at Wadala,1.1 Lac,1350 12800,2,2,Semi-Furnished,2,23,Freehold,East,"Pool, Garden/Park, Main Road",Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Wadala, Mumbai for 1.10 Lac(s)",67970843_1_PropertyImage344-44939181221343.jpg
5BHK Multistorey Apartment for Rent in Hiranandani Evita at Hiranandani Gardens,5 Lac,"13,000 12800",5,5,Semi-Furnished,1,3,,East,Main Road,Rent,Apartment,Mumbai,,F,"5 BHK, Multistorey Apartment is available for Rent in Hiranandani Gardens, Mumbai for 5.0 Lac(s)",68544393_5_0230605160513.jpg
3BHK Multistorey Apartment for Rent in Wadala West,1.1 Lac,1350 12800,3,2,Unfurnished,1,1,,West,Main Road,Rent,Apartment,Mumbai,2016,F,"3 BHK, Multistorey Apartment is available for Rent in Wadala West, Mumbai for 1.10 Lac(s)",68629549_5_ASSAGE.jpeg
2BHK Multistorey Apartment for Rent in Godrej The Trees at Vikhroli East,"80,000",856 12800,2,2,Semi-Furnished,2,3,Co-operative Society,North - East,Garden/Park,Rent,Apartment,Mumbai,2015,F,"2 BHK, Multistorey Apartment is available for Rent in Vikhroli East, Mumbai for 80,000",68465597_9_PropertyImage69-83771298302754.jpg
2BHK Multistorey Apartment for Rent in Zenith at Mulund West,"55,000",1250 12800,2,2,Semi-Furnished,1,4,,East,Main Road,Rent,Apartment,Mumbai,2012,F,"2 BHK, Multistorey Apartment is available for Rent in Mulund West, Mumbai for 55,000",68340851_1_enithAB.jpg
2BHK Multistorey Apartment for Rent in Golden Square at Sunder Nagar Santacruz East,"75,000",1000 12800,2,2,Semi-Furnished,,2,,East,,Rent,Apartment,Mumbai,1987,F,"2 BHK, Multistorey Apartment is available for Rent in Sunder Nagar Santacruz East, Mumbai for 75,000",68607001_5_MG20220405WA0066.jpg
3BHK Multistorey Apartment for Rent in Celestia Spaces at Sewri,1.8 Lac,2303 12800,3,4,Semi-Furnished,,50,Co-operative Society,South -West,"Pool, Garden/Park, Main Road",Rent,Apartment,Mumbai,1995,F,"3 BHK, Multistorey Apartment is available for Rent in Sewri, Mumbai for 1.75 Lac(s)",67475739_2_PropertyImage962-7564598426304.jpg
3BHK Multistorey Apartment for Rent in diamond garden at Chembur,"75,000",1600 12800,3,3,Semi-Furnished,1,4,,East,Main Road,Rent,Apartment,Mumbai,2004,F,"3 BHK, Multistorey Apartment is available for Rent in Chembur, Mumbai for 75,000",66919125_2_1683285000270-897.jpg
4BHK Multistorey Apartment for Rent in Raheja Acropolis at Chembur,1.5 Lac,1820 12800,4,3,Furnished,,5,,East,Garden/Park,Rent,Apartment,Mumbai,1986,F,"4 BHK, Multistorey Apartment is available for Rent in Chembur, Mumbai for 1.50 Lac(s)",62184249_9_1680074325602-448.jpg
3BHK Multistorey Apartment for Rent in ,1.4 Lac,2350 12800,3,4,Unfurnished,2,22,Freehold,West,"Garden/Park, Main Road",Rent,Apartment,Mumbai,1980,F,"3 BHK, Multistorey Apartment is available for Rent in , Mumbai for 1.40 Lac(s)",59896999_4_PropertyImage288-14042763979865.jpg
4BHK Multistorey Apartment for Rent in Raheja Atlantis at Worli,4.3 Lac,3275 12800,4,5,Semi-Furnished,5,20,,West,Garden/Park,Rent,Apartment,Mumbai,2015,F,"4 BHK, Multistorey Apartment is available for Rent in Worli, Mumbai for 4.25 Lac(s)",65146335_13_hatsAppImage20220923at2.09.37PM.jpeg
3BHK Multistorey Apartment for Rent in Andheri West,1.3 Lac,1400 12800,3,3,Furnished,,,Co-operative Society,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2000,F,"3 BHK, Multistorey Apartment is available for Rent in Andheri West, Mumbai for 1.25 Lac(s)",68273881_2_PropertyImage183-53998060244658.jpg
1BHK Multistorey Apartment for Rent in Hiranandani Zen Maple at Hiranandani Gardens,"56,000",600 12800,1,1,Furnished,,3,,North - East,Garden/Park,Rent,Apartment,Mumbai,2011,F,"1 BHK, Multistorey Apartment is available for Rent in Hiranandani Gardens, Mumbai for 56,000",68584541_9_hatsAppImage20230812at4.59.28PM1.jpeg
2BHK Multistorey Apartment for Rent in Piramal Revanta at Mulund West,"47,000",984 12800,2,2,Semi-Furnished,,10,,East,Main Road,Rent,Apartment,Mumbai,2013,F,"2 BHK, Multistorey Apartment is available for Rent in Mulund West, Mumbai for 47,000",68313429_4_hatsAppImage20230726at3.27.06PM2.jpeg
3BHK Multistorey Apartment for Rent in Khar West,5 Lac,None ,3,4,Semi-Furnished,5,5,Freehold,East,Garden/Park,Rent,Apartment,Mumbai,2010,F,"3 BHK, Multistorey Apartment is available for Rent in Khar West, Mumbai for 5.0 Lac(s)",67326241_19_1685622618373-884.jpg
2BHK Multistorey Apartment for Rent in Sheth Montana at Mulund West,"50,000",723 12800,2,2,Semi-Furnished,,13,,East,Main Road,Rent,Apartment,Mumbai,2012,F,"2 BHK, Multistorey Apartment is available for Rent in Mulund West, Mumbai for 50,000",65879025_5_PropertyImage54-805244441036734.jpg
3BHK Multistorey Apartment for Rent in Hiranandani Gardens Torino at Hiranandani Gardens,2.3 Lac,2060 12800,3,3,Semi-Furnished,2,30,,North - West,Garden/Park,Rent,Apartment,Mumbai,2016,F,"3 BHK, Multistorey Apartment is available for Rent in Hiranandani Gardens, Mumbai for 2.25 Lac(s)",67335091_7_PropertyImage352-3290708658103.jpg
